,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Mühərrikin gücü,Yanacaq növü,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Qiymət,K,r,e,d,i,t
23,Bakı,Kia,Optima,2012,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,96 536 km,Avtomat,Ön,Xeyr,20 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
24,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,1.8 L,150 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,17 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
25,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
26,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
27,Bakı,Nissan,X-Trail,2022,Offroader / SUV,Boz,2.0 L,150 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,49 900 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
28,Bakı,Toyota,Corolla,2004,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Dizel,238 000 km,Mexaniki,Ön,Xeyr,13 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
29,Bakı,Opel,Astra,2009,Universal,Mavi,1.4 L,90 a.g.,Benzin,165 000 km,Mexaniki,Ön,Xeyr,13 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
30,Bakı,Toyota,Prado,2011,Offroader / SUV,Qara,4.0 L,282 a.g.,Benzin,181 000 km,Avtomat,Tam,Xeyr,33 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
31,Bakı,LADA (VAZ),2104,2005,Universal,Tünd qırmızı,1.6 L,76 a.g.,Benzin,99 281 km,Mexaniki,Arxa,Xeyr,5 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
32,Bakı,Mercedes,G 55 AMG,2011,Offroader / SUV,Ağ,5.4 L,507 a.g.,Benzin,165 000 km,Avtomat,Tam,Xeyr,56 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
33,Bakı,Mercedes,E 220,1988,Sedan,Qara,2.2 L,146 a.g.,Dizel,321 000 km,Avtomat,Arxa,Xeyr,5 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
34,Bakı,Nissan,Xterra,2020,Offroader / SUV,Boz,2.5 L,165 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,43 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
35,Bakı,Toyota,Prado,2009,Offroader / SUV,Ağ,2.7 L,163 a.g.,Benzin,180 500 km,Avtomat,Tam,Xeyr,34 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
36,Bakı,Lexus,GX 460,2022,Offroader / SUV,Qara,4.6 L,296 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,128 800 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
37,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,34 609 km,Avtomat,Tam,Xeyr,115 800 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
38,Bakı,GAZ,221717,2021,Mikroavtobus,Ağ,2.7 L,107 a.g.,Benzin,0 km,Mexaniki,Tam,Bəli,31 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
39,Bakı,Mitsubishi,Attrage,2021,Sedan,Boz,1.2 L,78 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,15 800 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
40,Bakı,Aston Martin,Rapide,2013,Hetçbek / Liftbek,Boz,6.0 L,610 a.g.,Benzin,4 000 km,Avtomat,Arxa,Xeyr,55 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
41,Bakı,Mercedes,GLK 220,2010,Offroader / SUV,Ağ,2.2 L,170 a.g.,Dizel,260 000 km,Avtomat,Tam,Xeyr,19 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
42,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Ağ,3.0 L,340 a.g.,Benzin,65 000 km,Avtomat,Tam,Xeyr,68 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
43,Bakı,Ford,Explorer,2015,Offroader / SUV,Ağ,2.0 L,240 a.g.,Benzin,138 758 km,Avtomat,Tam,Xeyr,34 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
44,Bakı,Ravon,Nexia R3,2019,Sedan,Ağ,1.5 L,107 a.g.,Benzin,145 000 km,Mexaniki,Ön,Xeyr,13 160 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
45,Bakı,Opel,Astra,2004,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Benzin,198 070 km,Mexaniki,Ön,Xeyr,10 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
46,Bakı,Land Rover,Range Rover,2008,Offroader / SUV,Qara,4.2 L,396 a.g.,Benzin,290 000 km,Avtomat,Tam,Xeyr,24 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
47,Bakı,Mercedes,G 63 AMG,2013,Offroader / SUV,Ağ,5.5 L,544 a.g.,Benzin,75 000 km,Avtomat,Tam,Xeyr,71 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
48,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
49,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
50,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
51,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
52,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
53,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
54,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
55,Salyan,Renault,Symbol,2008,Sedan,Gümüşü,1.4 L,98 a.g.,Benzin,11 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
56,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Ağ,3.0 L,190 a.g.,Benzin,251 557 km,Avtomat,Tam,Xeyr,24 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
57,Bakı,Nissan,Sunny,2014,Sedan,Ağ,1.5 L,99 a.g.,Benzin,111 115 km,Avtomat,Ön,Xeyr,17 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
58,Goranboy,LADA (VAZ),2107,1990,Sedan,Ağ,1.5 L,65 a.g.,Benzin,455 646 km,Mexaniki,Tam,Xeyr,2 850 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
59,Bakı,Kia,Optima,2012,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,96 536 km,Avtomat,Ön,Xeyr,20 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
60,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,1.8 L,150 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,17 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
61,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
62,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
63,Bakı,Nissan,X-Trail,2022,Offroader / SUV,Boz,2.0 L,150 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,49 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
64,Bakı,Toyota,Corolla,2004,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Dizel,238 000 km,Mexaniki,Ön,Xeyr,13 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
65,Bakı,Opel,Astra,2009,Universal,Mavi,1.4 L,90 a.g.,Benzin,165 000 km,Mexaniki,Ön,Xeyr,13 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
66,Bakı,Toyota,Prado,2011,Offroader / SUV,Qara,4.0 L,282 a.g.,Benzin,181 000 km,Avtomat,Tam,Xeyr,33 500 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
67,Bakı,LADA (VAZ),2104,2005,Universal,Tünd qırmızı,1.6 L,76 a.g.,Benzin,99 281 km,Mexaniki,Arxa,Xeyr,5 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
68,Bakı,Mercedes,G 55 AMG,2011,Offroader / SUV,Ağ,5.4 L,507 a.g.,Benzin,165 000 km,Avtomat,Tam,Xeyr,56 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
69,Bakı,Mercedes,E 220,1988,Sedan,Qara,2.2 L,146 a.g.,Dizel,321 000 km,Avtomat,Arxa,Xeyr,5 000 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
70,Bakı,Nissan,Xterra,2020,Offroader / SUV,Boz,2.5 L,165 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,43 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
71,Bakı,Toyota,Prado,2009,Offroader / SUV,Ağ,2.7 L,163 a.g.,Benzin,180 500 km,Avtomat,Tam,Xeyr,34 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
72,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0 L,282 a.g.,Benzin,134 000 km,Avtomat,Tam,Xeyr,47 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
73,Bakı,Land Rover,Range Rover,2019,Offroader / SUV,Ağ,3.0 L,340 a.g.,Benzin,49 000 km,Avtomat,Tam,Xeyr,115 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
74,Bakı,Audi,Q8,2019,Offroader / SUV,Boz,3.0 L,340 a.g.,Benzin,70 400 km,Avtomat,Tam,Xeyr,76 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
75,Bakı,Lexus,LX 450,2016,Offroader / SUV,Qara,4.5 L,272 a.g.,Dizel,89 000 km,Avtomat,Tam,Xeyr,84 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
76,Bakı,Kia,Rio,2009,Hetçbek / Liftbek,Qara,1.4 L,97 a.g.,Benzin,185 000 km,Mexaniki,Ön,Xeyr,12 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
77,Bakı,Hyundai,Elantra,2018,Sedan,Qara,1.6 L,204 a.g.,Benzin,136 311 km,Avtomat,Ön,Xeyr,27 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
78,Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,147 000 km,Avtomat,Ön,Xeyr,21 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
79,Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Qara,1.5 L,76 a.g.,Hibrid,195 000 km,Avtomat,Ön,Xeyr,14 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
80,Bakı,Mitsubishi,Mirage,2020,Sedan,Ağ,1.2 L,78 a.g.,Benzin,5 500 km,Avtomat,Ön,Xeyr,18 800 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
81,Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Qara,1.5 L,76 a.g.,Hibrid,254 276 km,Avtomat,Ön,Xeyr,13 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
82,Bakı,Mercedes,E 320,2000,Sedan,Göy,3.2 L,224 a.g.,Benzin,367 755 km,Avtomat,Arxa,Xeyr,12 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
83,Bakı,Audi,A6,2015,Sedan,Ağ,2.8 L,220 a.g.,Benzin,84 890 km,Avtomat,Ön,Xeyr,26 500 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
84,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
85,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
86,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
87,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
88,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
89,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
90,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
91,Salyan,Renault,Symbol,2008,Sedan,Gümüşü,1.4 L,98 a.g.,Benzin,11 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
92,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Ağ,3.0 L,190 a.g.,Benzin,251 557 km,Avtomat,Tam,Xeyr,24 600 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
93,Bakı,Nissan,Sunny,2014,Sedan,Ağ,1.5 L,99 a.g.,Benzin,111 115 km,Avtomat,Ön,Xeyr,17 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
94,Goranboy,LADA (VAZ),2107,1990,Sedan,Ağ,1.5 L,65 a.g.,Benzin,455 646 km,Mexaniki,Tam,Xeyr,2 850 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
95,Bakı,Kia,Optima,2012,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,96 536 km,Avtomat,Ön,Xeyr,20 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
96,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,1.8 L,150 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,17 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
97,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
98,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
99,Bakı,Nissan,X-Trail,2022,Offroader / SUV,Boz,2.0 L,150 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,49 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
100,Bakı,Toyota,Corolla,2004,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Dizel,238 000 km,Mexaniki,Ön,Xeyr,13 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
101,Bakı,Opel,Astra,2009,Universal,Mavi,1.4 L,90 a.g.,Benzin,165 000 km,Mexaniki,Ön,Xeyr,13 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
